distr_name,original_name
"Набор Для салата из фунчозы ""ЧИМ-ЧИМ"", 160 г","Набор Для салата из фунчозы ""ЧИМ-ЧИМ"""
"Соус для приготовления Курицы Терияки, 150 г","Соус для приготовления курицы терияки, 150 гр., 32 шт"
"Соус для приготовления Овощей по-тайски, 150 г","Соус для приготовления овощей по-тайски, 150 гр., 32 шт"
"Соус для приготовления Свинины в кисло-сладком соусе, 150 г","Соус для приготовления свинины в кисло-сладком соусе, 150 гр., 32 шт"
"Соус для приготовления Яки Соба, 90 г","Соус для приготовления Яки Соба, 90 гр"
"Соус для приготовления Фунчозы в устричном соусе, 90г","Соус Устричный для фунчозы ""Чим-Чим"", 90 гр"
"Соус для приготовления Яки Удон, 90 г","Соус для приготовления Яки Удон, 90 гр"
"Соус для приготовления Пад Тай, 90 г","Соус для приготовления Пад Тай, 90 гр."
"Соус для Говядины в чёрном перце, 90 г","Соус для Говядины в чёрном перце, 90 г"
"Соус для Курицы в сладком чили, 90 г","Соус для Курицы в сладком чили, 90 г"
"Соус для Курицы ""Якитори"", 90 г","Соус для Курицы ""Якитори"", 90 г"
"Соус Чили, 300 г ",Соус Чили (с чесноком) 300 гр
"Соус Кисло-сладкий, 300 г ",Соус WOK Кисло-Сладкий 300 гр.
"Соус Чёрный перец, 320 г ",Соус WOK Черный Перец 320 гр.
"Соус Соево-чесночный, 300 г",Соус WOK Соево-Чесночный 320 гр.
"Лапша гречневая Соба, 250 г","Лапша гречневая Соба Чим-Чим, 12 шт. 250 гр."
"Лапша пшеничная Удон, 250 г","Лапша пшеничная Удон Чим-Чим, 12 шт. 250 гр."
"Соевый соус ""Премиум"", 250 мл","Соевый соус ""Премиум"", 250 мл"
"Соевый соус ""Лёгкий"", 250 мл","Соевый соус ""Легкий"", 250 мл"
"Соевый соус ""Для Суши и Роллов"", 250 мл","Соевый соус ""Для СУШИ и РОЛЛОВ"", 250 мл"
"Соус «Устричный», 250 мл","Соус Устричный Чим-Чим"" 250 мл."
"Соус «Терияки», 250 мл","Соус Терияки Чим-Чим"" 250 мл."
"Соевый соус ""ЧИМ-ЧИМ"", 290 мл","Соевый соус ""Чим-Чим"", 350 гр (290 мл)"
"Набор Для приготовления Фунчозы в устричном соусе, 190 г","Набор для приготовления Фунчозы в Устричном соусе,"
"Набор Для приготовления Яки Соба, 235 г","Набор для приготовления Яки Соба, 6 шт."
"Набор Для приготовления Яки Удон, 235 г","Набор для приготовления Яки Удон, 6 шт."
"Корейская заправка для Моркови, 60 г","Корейская заправка для моркови, 60 гр"
"Корейская заправка для Капусты, 60 г","Корейская заправка для капусты, 60 гр"
"Корейская заправка для Фунчозы, 60 г","Корейская заправка для фунчозы, 60 гр"
"Корейская заправка для Спаржи, 60 г","Корейская заправка для спаржи, 60 гр"
"Корейская заправка для Моркови острой, 60 г","Корейская заправка для острой моркови, 60 гр"
"Корейская заправка для Моркови с мясом, 60 г","Корейская заправка для моркови с мясом, 60 гр"
"Корейская заправка для Хе из рыбы, 60 г","Корейская заправка для хе из рыбы, 60 гр"
"Корейская заправка для Хе из курицы, 60 г","Корейская заправка для хе из курицы, 60 гр"
"Корейская заправка для Огурцов, 60 г","Корейская заправка для огурцов, 60 гр"
"Корейская заправка для Кальмаров, 60 г","Корейская заправка для кальмаров, 60 гр"
"Рис для суши, 500 г","Рис для суши, 500 г"
"Рисовый уксус, 250 мл","Рисовый уксус, 250 мл"
"Васаби паста, 43 г","Васаби паста, 43 г"
Бамбуковые палочки (5 пар),Бамбуковые палочки (5 пар)
Бамбуковая Циновка,Бамбуковая Циновка
"Имбирь маринованный розовый, 190 г","Имбирь маринованный розовый, 190 г"
"Кокосовое молоко, 400 мл","Кокосовое молоко, 400 мл"
"Лапша гречневая Соба Чим-Чим, 250 гр (12)","Лапша гречневая Соба Чим-Чим, 12 шт. 250 гр."
"Маринад для мяса 0,30л (12)","Маринад для мяса (брусничный), 300 г"
Маринад С белым вином 80гр. (40),"Маринад С Белым Вином, 80 гр"
Набор для приготовления Яки Соба 235 гр. (6),"Набор для приготовления Яки Соба, 6 шт."
Набор для приготовления Фунчоза в устричном соусе 190 гр. (6),"Набор для приготовления Фунчозы в Устричном соусе,"
"Приправа для маринования мяса в майонезе, 25гр. (4х20)","Приправа ЖМ для шашл\в майонезе, саше 25 гр."
Маринад Грибной 80гр. (40),"Маринад Грибной, 80 гр"
Набор для приготовления Яки Удон 235 гр. (6),"Набор для приготовления Яки Удон, 6 шт."
"Соевый соус ""Премиум"" Чим-Чим, 290 гр (250 мл) (12)","Соевый соус ""Премиум"", 250 мл"
"Соевый соус ""Легкий"" Чим-Чим, 285 гр (250 мл) (12)","Соевый соус ""Легкий"", 250 мл"
"Соус Якитори для курицы ""Чим-Чим"", 90 гр (40)","Соус для Курицы ""Якитори"", 90 г"
"Соус для говядины в черном перце ""Чим-Чим"", 90 гр (40)","Соус для Говядины в чёрном перце, 90 г"
"Соус для курицы в сладком чили ""Чим-Чим"", 90 гр (40)","Соус для Курицы в сладком чили, 90 г"
"Рассол ""Идея на закуску"" для окорочков копченых 150 гр. (32)","Рассол ""Идея на закуску"" для окорочков копченых"
"Приправа - Васаби ""Чим-Чим"", 43 гр (40)","Васаби паста, 43 г"
"Соус Чили (с чесноком) ""Чим-Чим"", 300 гр (250 мл) (12)",Соус Чили (с чесноком) 300 гр
"Приправа для маринования мяса в луке и томатах, 25гр. (4х20)","Приправа ЖМ для шашл\в луке и томатах, саше 25 гр."
"Приправа для маринования мяса в минеральной воде, 25гр. (4х20)","Приправа ЖМ для шашл\в мин-ой воде, саше 25 гр."
